"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 20 08:37:04 GMT 2023","Mon Mar 20 08:37:10 GMT 2023","5418","","login","","","","Add to cart",""
"failed","Mon Mar 20 08:37:17 GMT 2023","Mon Mar 20 08:37:24 GMT 2023","7642","","My User Registration log","","","","User Register",""
"passed","Mon Mar 20 08:35:48 GMT 2023","Mon Mar 20 08:35:57 GMT 2023","9137","","Achat depuis la liste des souhaits reg","","","","passes",""
"failed","Mon Mar 20 08:36:45 GMT 2023","Mon Mar 20 08:36:48 GMT 2023","3194","","Retirer un produit au panier","","","","passes",""
"passed","Mon Mar 20 08:36:20 GMT 2023","Mon Mar 20 08:36:22 GMT 2023","1909","","filtre reg","","","","passes",""
"broken","Mon Mar 20 10:18:12 GMT 2023","Mon Mar 20 10:18:12 GMT 2023","0","","cypress/e2e/vide_panier.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/vide_panier.cy.js",""
"failed","Mon Mar 20 08:36:29 GMT 2023","Mon Mar 20 08:36:38 GMT 2023","8829","","modifier la quantite reg","","","","passes",""
"failed","Mon Mar 20 08:36:14 GMT 2023","Mon Mar 20 08:36:15 GMT 2023","298","","","","","","An uncaught error was detected outside of a test",""
"passed","Mon Mar 20 08:36:54 GMT 2023","Mon Mar 20 08:36:56 GMT 2023","1867","","Recherhe panier reg","","","","Recherche",""
"passed","Mon Mar 20 08:36:06 GMT 2023","Mon Mar 20 08:36:09 GMT 2023","3895","","Ajout a la liste de souhaits","","","","passes",""
